env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt,caffeine_percent
0.0,70.0,56.0,143.0,63.0,13.0,0.0,0.0,2523.0,0.0,1.0,56.0,1.0,1.0,635.0,0.06
0.0,64.0,100.0,105.0,67.0,196.0,1.0,0.0,2486.0,0.0,7.0,214.0,1.0,0.0,1090.0,0.06
0.0,64.0,100.0,105.0,67.0,196.0,1.0,0.0,2486.0,0.0,7.0,214.0,1.0,0.0,1090.0,0.06
0.0,87.0,77.0,141.0,59.0,12.0,0.0,0.0,2455.0,0.0,1.0,219.0,1.0,0.0,461.0,0.06
1.0,89.0,13.0,148.0,60.0,11.0,0.0,0.0,2386.0,0.0,1.0,156.0,0.0,1.0,321.0,0.06
0.0,76.0,87.0,116.0,64.0,20.0,0.0,0.0,2315.0,0.0,1.0,258.0,1.0,1.0,518.0,0.06
0.0,76.0,87.0,116.0,64.0,20.0,0.0,0.0,2315.0,0.0,1.0,258.0,1.0,1.0,518.0,0.06
1.0,73.0,0.0,170.0,60.0,27.0,0.0,0.0,2532.0,1.0,1.0,1.0,0.0,1.0,180.0,0.7
1.0,75.0,0.0,172.0,60.0,28.0,0.0,0.0,2487.0,1.0,1.0,297.0,0.0,1.0,60.0,0.7
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.7
1.0,77.0,0.0,173.0,59.0,24.0,0.0,0.0,2483.0,1.0,1.0,241.0,0.0,1.0,67.0,0.7
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.7
1.0,89.0,13.0,148.0,60.0,11.0,0.0,0.0,2386.0,0.0,1.0,156.0,0.0,1.0,321.0,0.7
1.0,89.0,13.0,148.0,60.0,11.0,0.0,0.0,2386.0,0.0,1.0,156.0,0.0,1.0,321.0,0.7
0.0,77.0,0.0,50.0,66.0,716.0,0.0,0.0,2886.0,0.0,12.0,160.0,0.0,0.0,302.0,0.02
1.0,67.0,1.0,168.0,61.0,37.0,0.0,1.0,2637.0,1.0,1.0,228.0,0.0,0.0,461.0,0.02
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.02
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.02
1.0,76.0,16.0,173.0,60.0,27.0,0.0,0.0,2512.0,1.0,1.0,173.0,0.0,1.0,92.0,0.02
0.0,61.0,99.0,107.0,67.0,179.0,1.0,0.0,2478.0,0.0,7.0,290.0,1.0,0.0,1332.0,0.02
0.0,65.0,100.0,105.0,66.0,197.0,1.0,0.0,2488.0,0.0,7.0,16.0,0.0,0.0,992.0,0.02
1.0,67.0,13.0,106.0,66.0,193.0,1.0,0.0,2500.0,0.0,7.0,290.0,0.0,0.0,900.0,0.02
0.0,70.0,85.0,105.0,70.0,121.0,1.0,0.0,2224.0,0.0,6.0,332.0,1.0,0.0,1084.0,0.02
0.0,65.0,59.0,103.0,71.0,102.0,1.0,0.0,2229.0,0.0,6.0,319.0,0.0,0.0,1438.0,0.02
0.0,63.0,100.0,103.0,71.0,97.0,1.0,0.0,2194.0,0.0,6.0,162.0,1.0,0.0,1466.0,0.02
1.0,65.0,96.0,108.0,71.0,54.0,1.0,0.0,2261.0,0.0,4.0,48.0,0.0,0.0,1545.0,0.02
0.0,73.0,95.0,106.0,68.0,21.0,1.0,0.0,2267.0,0.0,3.0,319.0,1.0,0.0,994.0,0.02
0.0,73.0,95.0,106.0,68.0,21.0,1.0,0.0,2267.0,0.0,3.0,319.0,1.0,0.0,994.0,0.02
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.03
1.0,76.0,16.0,173.0,60.0,27.0,0.0,0.0,2512.0,1.0,1.0,173.0,0.0,1.0,92.0,0.03
0.0,90.0,0.0,136.0,60.0,20.0,0.0,1.0,2174.0,0.0,1.0,221.0,0.0,0.0,37.0,0.03
0.0,66.0,85.0,107.0,64.0,71.0,1.0,0.0,2513.0,0.0,3.0,148.0,1.0,0.0,908.0,0.03
1.0,90.0,2.0,151.0,60.0,9.0,0.0,0.0,2362.0,0.0,1.0,161.0,0.0,1.0,270.0,0.03
1.0,91.0,2.0,156.0,60.0,7.0,0.0,1.0,2276.0,0.0,1.0,303.0,0.0,0.0,184.0,0.03
0.0,95.0,69.0,146.0,58.0,11.0,0.0,0.0,2202.0,0.0,1.0,252.0,0.0,0.0,23.0,0.03
1.0,94.0,34.0,145.0,57.0,10.0,0.0,0.0,2193.0,0.0,1.0,115.0,0.0,0.0,8.0,0.03
1.0,92.0,0.0,157.0,60.0,5.0,0.0,1.0,2255.0,0.0,1.0,10.0,0.0,0.0,98.0,0.03
1.0,75.0,67.0,116.0,64.0,19.0,0.0,0.0,2319.0,0.0,1.0,312.0,0.0,1.0,483.0,0.03
1.0,90.0,8.0,154.0,60.0,3.0,0.0,1.0,2278.0,0.0,1.0,257.0,0.0,0.0,183.0,0.03
1.0,90.0,1.0,149.0,62.0,0.0,0.0,1.0,2214.0,0.0,1.0,205.0,0.0,0.0,46.0,0.03
1.0,89.0,8.0,145.0,63.0,1.0,0.0,0.0,2178.0,0.0,1.0,161.0,0.0,0.0,55.0,0.03
1.0,91.0,28.0,146.0,62.0,1.0,0.0,0.0,2149.0,0.0,1.0,351.0,0.0,0.0,14.0,0.03
0.0,93.0,0.0,153.0,60.0,2.0,0.0,1.0,2209.0,0.0,1.0,98.0,0.0,0.0,32.0,0.03
1.0,93.0,0.0,150.0,60.0,1.0,0.0,1.0,2217.0,0.0,1.0,15.0,0.0,0.0,32.0,0.03
1.0,92.0,0.0,150.0,60.0,0.0,0.0,1.0,2210.0,0.0,1.0,277.0,0.0,0.0,55.0,0.03
1.0,92.0,41.0,150.0,60.0,0.0,0.0,1.0,2207.0,0.0,1.0,297.0,0.0,0.0,33.0,0.03
0.0,93.0,59.0,150.0,60.0,0.0,0.0,0.0,2193.0,0.0,1.0,147.0,1.0,0.0,50.0,0.03
0.0,92.0,0.0,138.0,59.0,0.0,0.0,0.0,2038.0,0.0,1.0,30.0,0.0,0.0,28.0,0.03
1.0,97.0,9.0,113.0,62.0,19.0,0.0,0.0,2079.0,0.0,1.0,231.0,0.0,0.0,34.0,0.03
0.0,77.0,100.0,111.0,64.0,9.0,1.0,0.0,2259.0,0.0,1.0,180.0,1.0,0.0,621.0,0.03
0.0,77.0,100.0,111.0,64.0,9.0,1.0,0.0,2259.0,0.0,1.0,180.0,1.0,0.0,621.0,0.03
1.0,104.0,2.0,95.0,65.0,64.0,0.0,1.0,1792.0,0.0,4.0,177.0,0.0,0.0,106.0,0.03
1.0,100.0,22.0,97.0,66.0,51.0,0.0,1.0,1808.0,0.0,4.0,240.0,0.0,0.0,69.0,0.03
0.0,97.0,74.0,98.0,65.0,38.0,0.0,0.0,1836.0,0.0,4.0,341.0,1.0,0.0,297.0,0.03
0.0,98.0,87.0,97.0,66.0,40.0,0.0,0.0,1821.0,0.0,4.0,7.0,1.0,0.0,261.0,0.03
0.0,101.0,0.0,81.0,65.0,687.0,0.0,0.0,1879.0,0.0,8.0,355.0,0.0,0.0,86.0,0.03
0.0,101.0,0.0,81.0,65.0,687.0,0.0,0.0,1879.0,0.0,8.0,355.0,0.0,0.0,86.0,0.03
0.0,100.0,0.0,82.0,65.0,677.0,0.0,0.0,1866.0,0.0,8.0,223.0,0.0,0.0,98.0,0.03
0.0,96.0,3.0,102.0,67.0,603.0,0.0,0.0,1783.0,0.0,8.0,10.0,0.0,0.0,229.0,0.03
0.0,92.0,62.0,105.0,67.0,567.0,0.0,0.0,1799.0,0.0,8.0,208.0,0.0,0.0,259.0,0.03
0.0,92.0,62.0,105.0,67.0,567.0,0.0,0.0,1799.0,0.0,8.0,208.0,0.0,0.0,259.0,0.03
0.0,94.0,42.0,105.0,67.0,580.0,0.0,0.0,1814.0,0.0,8.0,231.0,0.0,0.0,243.0,0.03
0.0,116.0,33.0,129.0,69.0,681.0,0.0,0.0,1488.0,0.0,8.0,98.0,0.0,0.0,201.0,0.03
1.0,71.0,9.0,178.0,61.0,32.0,0.0,1.0,2564.0,1.0,1.0,211.0,0.0,0.0,336.0,0.03
1.0,76.0,16.0,173.0,60.0,27.0,0.0,0.0,2512.0,1.0,1.0,173.0,0.0,1.0,92.0,0.03
0.0,115.0,72.0,169.0,71.0,465.0,0.0,0.0,1230.0,0.0,7.0,58.0,0.0,0.0,122.0,0.03
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.01
1.0,73.0,18.0,171.0,59.0,23.0,0.0,0.0,2525.0,1.0,1.0,347.0,0.0,1.0,211.0,0.01
1.0,75.0,0.0,172.0,60.0,26.0,0.0,0.0,2510.0,1.0,1.0,48.0,0.0,1.0,201.0,0.04
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.04
1.0,76.0,16.0,173.0,60.0,27.0,0.0,0.0,2512.0,1.0,1.0,173.0,0.0,1.0,92.0,0.04
1.0,75.44122644646836,7.014480990892336,171.6103066116171,59.61030661161709,25.44122644646837,0.0,0.0,2505.470188428253,1.0,1.0,141.93697849665693,0.0,1.0,129.8292206549267,0.013333333333333334
1.0,72.04081004613658,15.282295130720328,170.5204050230683,59.31972998462114,25.238109892347964,0.0,0.0,2542.9048791387836,1.0,1.0,327.9760659150423,0.0,0.0,250.96624807764223,0.013333333333333334
0.0,77.15953317667953,0.1838577934869223,173.54077742361082,60.021601710750524,29.279013637744118,0.0,0.0,2495.520413972231,0.0,1.103141667807026,10.878616643563726,0.0,0.0,69.38299767329455,0.010014489150163319
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.013333333333333334
1.0,73.30789368842312,16.61447840209593,171.0769734221058,59.07697342210578,23.30789368842313,0.0,0.0,2522.536850492615,1.0,1.0,321.13693017245737,0.0,1.0,200.76253485993107,0.013333333333333334
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.03
1.0,76.17288735107842,13.23380238274538,172.8271126489216,60.0,27.0,0.0,0.0,2508.71514032951,1.0,1.0,144.99224912529695,0.0,1.0,89.57957708490221,0.013333333333333334
1.0,69.15455002782791,4.590916713046518,169.19697223768216,60.760605552463566,34.60605552463566,0.0,0.0,2607.075694057946,1.0,1.0,214.8333053854961,0.0,0.0,372.6634488590556,0.03
0.0,66.92624208771973,11.794890095018944,106.84231503817391,65.82144512565692,194.0553419664184,0.0,0.0,2498.936153522943,0.0,7.0058400894231765,287.52568688252194,0.0,0.0,900.1633450245708,0.019999594026289102
0.0,71.34410035044576,72.36937145609207,106.0,67.44803345014859,68.46912328722152,1.0,0.0,2331.3041030576896,0.0,4.103933099702826,310.9964850271545,0.0,0.0,968.0575721569836,0.03
0.0,62.920400216156104,100.1910838375394,102.50581188070059,70.91402210101535,97.11245979961257,1.0,0.0,2188.33508573744,0.0,5.887897881983023,161.3958584694158,1.0,0.0,1475.3084812343875,0.019998179068797372
0.0,64.78302889255755,96.4339422148849,107.45757223139388,71.0,58.66487881001259,1.0,0.0,2253.731467900678,0.0,4.216971107442446,60.36735312421942,0.0,0.0,1536.4296412560234,0.03
0.0,61.223600488094085,99.50140652187535,108.53534993692362,66.98997806864611,173.71843908387703,1.0,0.0,2480.767391017963,0.0,6.956504838152657,291.3746216292331,0.0,0.0,1330.084362091283,0.020122561869475267
0.0,61.037474833771675,99.3542166951561,107.03778934852647,66.92199354643678,176.99059409858037,0.0,0.0,2476.933603333798,0.0,6.9834889473975705,289.88169836571046,0.0,0.0,1331.9671033921363,0.019951781314347033
0.0,65.24412255666967,100.08522726833375,104.11129473345322,65.95857136080156,199.65522885622346,0.0,0.0,2488.434948853831,0.0,7.066439442227656,19.494150886091038,0.0,0.0,987.8361506131703,0.020074517148582566
0.0,65.14009227777868,93.90598591662769,105.07004613888934,66.0,196.71981544444265,1.0,0.0,2488.840553666672,0.0,7.0,35.192642055678334,0.0,0.0,985.555755222181,0.03
1.0,75.40526600574884,7.176302974130219,171.6013165014372,59.60131650143721,25.40526600574884,0.0,0.0,2505.7578719540093,1.0,1.0,144.95765551709744,0.0,1.0,131.02490530885106,0.013333333333333334
1.0,77.0,0.0,172.0,60.0,27.0,0.0,0.0,2493.0,1.0,1.0,11.0,0.0,1.0,78.0,0.013333333333333334
0.0,77.05005667993588,0.010570407148917056,51.314923951922346,66.02641598292773,718.1028960973168,0.0,0.0,2891.80806682658,0.0,11.977205176189832,161.96625380282813,0.0,0.0,310.7247297505098,0.020032479632829482
0.0,76.92824118550273,0.0,49.29374075752577,66.02959951215698,716.5350648555918,0.0,0.0,2884.238327768441,0.0,12.034370079423486,158.21396608089532,0.0,0.0,317.78889144832164,0.020130310160123628
1.0,66.9449733634772,0.5183361219931912,168.0167176310137,60.97909826076278,38.44170851273843,0.0,1.0,2636.4104883488485,1.0,0.9001570301884563,229.7450755862171,0.0,0.0,462.77616038537883,0.01997494306940346
1.0,72.44496879640859,16.427411589824317,170.7224843982043,59.18501040119714,24.295072808379974,0.0,0.0,2535.36058246704,1.0,1.0,335.9918811287702,0.0,0.0,234.1263001496424,0.013333333333333334
1.0,64.7851773054783,96.91743643137778,108.93653217479398,71.0893002374682,55.79913341015817,1.0,0.0,2265.881233883449,0.0,4.054306849143139,49.00956118823584,0.0,0.0,1546.7571436454468,0.01998787181743046
0.0,65.0,85.14532665192691,106.53315225026039,71.0,68.08173839750023,1.0,0.0,2251.6121744016664,0.0,4.586739099895842,127.50314803588671,0.0,0.0,1513.6094581555724,0.03
0.0,73.0,95.0,106.0,68.0,21.0,1.0,0.0,2267.0,0.0,3.0,319.0,1.0,0.0,994.0,0.03
0.0,73.0,95.0,106.0,68.0,21.0,1.0,0.0,2267.0,0.0,3.0,319.0,1.0,0.0,994.0,0.03
0.0,73.0,95.0,106.0,68.0,21.0,1.0,0.0,2267.0,0.0,3.0,319.0,1.0,0.0,994.0,0.03
0.0,73.0,95.0,106.0,68.0,21.0,1.0,0.0,2267.0,0.0,3.0,319.0,1.0,0.0,994.0,0.03
0.0,71.13569619099025,88.78565396996747,105.37856539699675,69.2428692060065,83.1434603003253,1.0,0.0,2240.27831207086,0.0,4.864303809009759,327.07864983904227,1.0,0.0,1049.9291142702928,0.03
0.0,69.98382831729616,84.51446533968091,104.7572357180479,70.00655499723578,124.20129426533042,0.0,0.0,2223.89789478369,0.0,6.000167721712693,331.6096878497272,0.0,0.0,1085.3323201316048,0.020069493324371118
0.0,65.12187219575264,60.77647877179223,103.91207871081693,71.1575030531069,106.18207647546147,0.0,0.0,2228.6879970714217,0.0,6.050888909616977,317.92431244970635,0.0,0.0,1434.0403748007604,0.02010250841819502
0.0,64.9032902978573,58.20027736606742,103.31276057855884,70.99216386368272,100.36572926235301,1.0,0.0,2233.245068824302,0.0,5.915083908362209,318.41918613507,0.0,0.0,1425.7383137749766,0.020011842917317075
